id,creditcardno,ccardtype,ccardcountry
1,5602214131076489,bankcard,United States
2,6333609621346991,switch,Kazakhstan
3,30451569338709,diners-club-carte-blanche,Serbia
4,5100177319839902,mastercard,China
5,4936000988556073,switch,Georgia
6,201908307917998,diners-club-enroute,Philippines
7,4041597749003214,visa,Indonesia
8,3589937629280476,jcb,United States
9,3532829560423553,jcb,France
10,5602215560890547815,china-unionpay,China
11,6304236536497985,maestro,Slovenia
12,30486032660396,diners-club-carte-blanche,China
13,3581832531081443,jcb,France
14,3534450821806854,jcb,Poland
15,3589326127956342,jcb,Philippines
16,348565389875454,americanexpress,Indonesia
17,337941748223103,americanexpress,Sweden
18,36793021017833,diners-club-international,Argentina
19,4911727978538450,switch,Indonesia
20,3535028279793722,jcb,China
21,5010124000282421,mastercard,Russia
22,4917866841977950,visa-electron,Canada
23,3578129906873685,jcb,Malaysia
24,3549085188687514,jcb,Kazakhstan
25,5602226961977492643,china-unionpay,China
26,4903089947253236,switch,Ukraine
27,3529220368338109,jcb,Sweden
28,3573886893092141,jcb,Pakistan
29,3544642792743128,jcb,Armenia
30,3529703179564898,jcb,Indonesia
31,36716958737537,diners-club-international,Palestinian Territory
32,4917742762499862,visa-electron,Ireland
33,5602245567470788,bankcard,Russia
34,3581133219411600,jcb,Thailand
35,3558778209981001,jcb,Portugal
36,3553611570784883,jcb,South Africa
37,3548333271835991,jcb,Sweden
38,4913873126555778,visa-electron,China
39,4844612386531309,visa-electron,China
40,3562259605981006,jcb,Poland
41,6304597822904201569,maestro,Honduras
42,3575162876691087,jcb,Indonesia
43,4041379394125,visa,Russia
44,30155770592976,diners-club-carte-blanche,China
45,4734750351298,visa,Belarus
46,6385595192750199,instapayment,Russia
47,30383470239934,diners-club-carte-blanche,Bangladesh
48,3539472235758005,jcb,Albania
49,0604830408735348,maestro,Sweden
50,3552494409148047,jcb,Greece
51,201414171833007,diners-club-enroute,Indonesia
52,5020005984530802,maestro,China
53,6771336949908460911,laser,Argentina
54,3533004996185163,jcb,Indonesia
55,3562897813950683,jcb,China
56,374288196317159,americanexpress,Sweden
57,3570893928336710,jcb,China
58,3543305981552806,jcb,Poland
59,3537714098511522,jcb,Indonesia
60,3577082930805648,jcb,Bulgaria
61,5472221050343433,mastercard,Poland
62,5602231754791412670,china-unionpay,Philippines
63,6706231344621303287,laser,China
64,0604221474084797,maestro,Norway
65,3576260541651111,jcb,China
66,30022073164681,diners-club-carte-blanche,Brazil
67,3561234443772595,jcb,Japan
68,501835797880424154,maestro,Indonesia
69,3540260140230880,jcb,Argentina
70,374288001817278,americanexpress,Iran
71,30594958921997,diners-club-carte-blanche,China
72,201538647111588,diners-club-enroute,Indonesia
73,3543433779006320,jcb,Indonesia
74,3542922619909595,jcb,France
75,490508666782726093,switch,Russia
76,4917275495712871,visa-electron,Yemen
77,201935991209739,diners-club-enroute,Venezuela
78,3537771137378396,jcb,Pakistan
79,3569950262456810,jcb,Philippines
80,3567983272002771,jcb,Colombia
81,6759635289402110,switch,Kuwait
82,3567335094042727,jcb,Russia
83,3555480166114386,jcb,Cameroon
84,3561411154623833,jcb,Serbia
85,4936027474673093826,switch,United States
86,3530806482424382,jcb,China
87,3536781525626810,jcb,Russia
88,5602245198330633,china-unionpay,China
89,3564947884037874,jcb,Belarus
90,493627823049031813,switch,Brazil
91,502015039842252146,maestro,Ukraine
92,3548748628743319,jcb,Serbia
93,3577593768770100,jcb,Philippines
94,3569724761737438,jcb,Moldova
95,3537914274647633,jcb,Thailand
96,5354098501019041,mastercard,Bosnia and Herzegovina
97,5893327611126562,maestro,Portugal
98,3551846827478051,jcb,Philippines
99,3533398819783851,jcb,Russia
100,3588754704622071,jcb,Nigeria
