id,street_address,country,postcode,phone
1,67 Portage Way,Indonesia,,352-217-7752
2,50 Milwaukee Avenue,Indonesia,,830-369-9153
3,56 Lakewood Junction,Panama,,703-552-4749
4,390 Cardinal Avenue,China,,498-759-4598
5,2 Delaware Lane,Netherlands,7329,181-437-6544
6,93287 Portage Lane,Germany,47139,125-385-3190
7,304 Elka Place,Brazil,35000-000,772-997-4112
8,737 Kim Avenue,Portugal,2750-524,354-659-8277
9,84844 American Ash Park,Mexico,55718,829-271-5017
10,53 Northview Avenue,Poland,87-821,832-703-0840
11,82 Huxley Point,Indonesia,,809-879-4011
12,08123 Golden Leaf Lane,Azerbaijan,,350-721-7165
13,37 Vidon Street,China,,767-172-6814
14,1 Mallory Trail,Uruguay,,410-204-2107
15,84270 Dakota Crossing,Russia,366609,851-305-6948
16,234 Pleasure Way,Czech Republic,789 85,254-319-8509
17,02497 Bluejay Way,Mexico,29094,671-575-9155
18,190 Ridgeway Drive,Micronesia,,173-110-9985
19,802 Dakota Terrace,Greece,,661-781-7681
20,25 Leroy Pass,Indonesia,,566-145-4486
21,1523 Lake View Park,Democratic Republic of the Congo,,456-448-9527
22,20 Myrtle Plaza,Philippines,5605,708-932-7481
23,2929 Banding Circle,Indonesia,,408-840-7520
24,747 Oneill Circle,Indonesia,,905-152-9005
25,465 Sachtjen Court,China,,446-363-7155
26,28 Warrior Park,Indonesia,,405-559-0488
27,45 Paget Plaza,Philippines,5043,539-196-6085
28,09 Forest Dale Terrace,Indonesia,,210-542-5118
29,1 Bunker Hill Way,Democratic Republic of the Congo,,170-582-6132
30,06249 Scott Avenue,Brazil,46100-000,338-203-8971
31,4 Bunker Hill Junction,Czech Republic,664 57,525-798-1100
32,130 Farragut Plaza,Kyrgyzstan,,169-564-3266
33,12619 Canary Park,China,,288-448-3937
34,2211 Red Cloud Avenue,Germany,9116,327-108-2673
35,1 Hintze Place,China,,636-324-2025
36,0 Carberry Circle,Indonesia,,185-744-7723
37,415 Sloan Court,Russia,140074,868-836-6436
38,161 Wayridge Point,Cape Verde,,797-485-8230
39,9 Ryan Junction,Czech Republic,471 29,441-914-9899
40,0 Hintze Junction,China,,669-379-2588
41,7 Northland Drive,France,75100 CEDEX 01,932-864-6579
42,9 Macpherson Avenue,Philippines,9319,442-919-6238
43,2 Pankratz Alley,Argentina,8370,375-384-1588
44,89216 Shasta Center,Czech Republic,747 20,897-598-8332
45,90 Cherokee Plaza,Indonesia,,107-409-5106
46,5 Buena Vista Way,France,37554 CEDEX,204-744-4887
47,700 Jenna Junction,Philippines,1600,870-670-3493
48,4889 5th Terrace,Nigeria,,447-575-8547
49,47093 Sachtjen Hill,China,,829-592-3144
50,9 Maple Wood Drive,France,80075 CEDEX 1,308-717-4221
51,2 Havey Circle,Burkina Faso,,356-564-1576
52,79666 Schiller Drive,China,,770-909-0914
53,50 David Road,Vietnam,,793-963-4383
54,29342 Hoard Terrace,Bahamas,,198-769-7688
55,4493 Southridge Junction,Argentina,3470,757-827-7175
